"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","W","L","H","R","ER","HR","BB","IBB","HBP","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","FB%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","SIERA","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Zac Gallen","ARI","3","2","0","12","12","72.0","10.25","3.13","1.13",".266","83.6%","45.6%","15.3%","87.0","2.75","3.66","3.62","1.5","3","2","55","24","22","9","25","0","2","82","82","59","39","6","415","702","1117","30","5","1","0","32.8%","32.6%","60.0%","42.9%","57.5%","84.9%","71.8%","37.4%","64.9%","12.1%","3.88","39.0%","","25.7%","","","0.2%","","","16.1%","","19.0%","","","","93.2","","87.0","","","92.9","","","81.2","","84.9","","","49.2%","28.2%","22.7%","19.9%","51.4%","28.7%","19291"
"Gerrit Cole","NYY","7","3","0","12","12","73.0","11.59","2.10","1.73",".242","85.9%","37.4%","18.7%","90.4","2.84","3.89","3.38","1.5","7","3","53","27","23","14","17","0","2","94","65","75","34","6","411","792","1203","62","5","1","1","43.1%","35.2%","67.9%","49.5%","53.4%","79.6%","69.1%","43.8%","63.5%","15.3%","3.21","52.8%","","","","","","24.4%","","17.2%","","5.6%","","","","96.7","","","","","","88.7","","83.4","","88.3","","","42.3%","33.1%","24.6%","14.3%","48.6%","37.1%","13125"
"Kyle Hendricks","CHC","6","5","0","12","12","81.1","7.08","0.89","1.11",".272","82.4%","47.1%","13.0%","86.2","2.88","3.55","3.78","1.9","6","5","73","26","26","10","8","1","1","64","114","77","51","10","362","800","1162","29","5","0","0","31.8%","34.8%","66.9%","49.7%","65.0%","83.6%","76.6%","46.3%","66.3%","11.6%","4.00","20.1%","","","","","34.4%","","16.6%","","","28.9%","","","","87.4","","","","","87.3","","72.1","","","79.7","","","40.1%","36.4%","23.6%","17.4%","56.2%","26.4%","12049"
"Carlos Carrasco","CLE","3","4","0","12","12","68.0","10.85","3.57","1.06",".292","85.2%","44.3%","14.3%","88.0","2.91","3.59","3.65","1.5","3","4","55","22","22","8","27","0","2","82","74","56","37","4","396","705","1101","28","2","2","0","33.5%","33.2%","71.5%","48.6%","48.4%","83.2%","69.0%","40.1%","63.9%","15.1%","3.91","34.0%","","","","","4.5%","28.3%","5.2%","","","28.0%","","","","93.8","","","","","92.4","85.9","83.1","","","87.7","","","42.0%","37.3%","20.7%","17.2%","49.7%","33.1%","6632"
"Zack Wheeler","PHI","4","2","0","11","11","71.0","6.72","2.03","0.38",".306","74.6%","55.9%","7.5%","85.8","2.92","3.22","3.76","2.0","4","2","67","26","23","3","16","2","7","53","118","40","53","4","369","709","1078","51","9","1","0","19.0%","36.1%","74.9%","52.8%","71.6%","84.4%","79.4%","42.9%","58.3%","10.9%","4.07","40.8%","","","","","24.4%","16.3%","10.3%","","","8.3%","","","","97.0","","","","","96.6","89.8","80.2","","","90.1","","","41.0%","35.4%","23.6%","21.2%","55.7%","23.1%","10310"
"Brandon Woodruff","MIL","3","5","0","13","13","73.2","11.12","2.20","1.10",".269","79.2%","49.4%","14.1%","86.7","3.05","3.20","3.29","2.1","3","5","55","26","25","9","18","0","4","91","88","64","26","11","417","794","1211","18","8","2","1","36.0%","31.2%","69.7%","48.1%","64.0%","78.0%","72.9%","44.1%","66.6%","13.0%","3.30","34.3%","","","","","30.9%","10.8%","6.5%","","","17.5%","","","","96.6","","","","","96.3","88.2","83.6","","","86.7","","","35.0%","36.1%","28.9%","18.9%","51.7%","29.4%","16162"
"Marco Gonzales","SEA","7","2","0","11","11","69.2","8.27","0.90","1.03",".263","73.1%","37.6%","9.6%","86.4","3.10","3.32","4.13","2.0","7","2","59","27","24","8","7","0","4","64","76","83","43","14","326","731","1057","45","3","0","0","41.1%","34.1%","63.8%","47.6%","72.1%","88.9%","82.3%","45.4%","64.3%","8.4%","3.90","","","24.3%","","","45.3%","","16.1%","","","14.3%","","","","","","84.8","","","88.2","","75.3","","","80.6","","","43.1%","33.2%","23.8%","18.8%","42.1%","39.1%","15467"
"Adam Wainwright","STL","5","3","0","10","10","65.2","7.40","2.06","1.23",".247","78.8%","43.4%","13.8%","87.3","3.15","4.11","4.23","1.1","5","3","54","25","23","9","15","0","2","54","82","65","42","6","315","615","930","31","6","2","0","34.4%","32.3%","64.2%","45.7%","61.5%","86.5%","76.2%","42.0%","67.6%","10.9%","4.39","9.7%","","23.1%","","","26.5%","","38.3%","","","2.5%","","","","89.2","","85.1","","","89.3","","73.5","","","81.8","","","40.3%","38.7%","20.9%","19.4%","50.8%","29.8%","2233"
"Luis Castillo","CIN","4","6","0","12","12","70.0","11.44","3.09","0.64",".329","70.0%","58.4%","12.5%","86.0","3.21","2.65","2.82","2.4","4","6","62","31","25","5","24","0","1","89","104","40","34","3","403","750","1153","24","6","0","0","22.5%","33.4%","74.8%","50.8%","52.9%","80.2%","69.8%","42.1%","61.3%","15.4%","3.35","27.1%","","","","","25.2%","17.7%","","","","30.0%","","","","97.4","","","","","97.5","86.8","","","","88.2","","","46.6%","29.8%","23.6%","21.3%","47.8%","30.9%","15689"
"Aaron Nola","PHI","5","5","0","12","12","71.1","12.11","2.90","1.14",".283","72.3%","49.7%","19.6%","88.3","3.28","3.19","2.79","2.0","5","5","54","31","26","9","23","2","2","96","83","46","38","4","385","763","1148","50","4","1","0","27.5%","38.1%","62.3%","47.0%","59.1%","84.1%","71.3%","36.9%","64.4%","13.5%","3.25","25.1%","","","","","21.1%","","","26.8%","","27.1%","","","","92.9","","","","","91.8","","","78.7","","84.9","","","41.1%","34.5%","24.4%","16.7%","55.4%","28.0%","16149"
